section,file,slug,title,description,word_count,problem_signals,initial_decision
content/blog,content/blog/site-simplu-vinde-mai-bine.md,site-simplu-vinde-mai-bine,De ce un site simplu poate vinde mai bine decât unul complicat,,144,,
content/blog,content/blog/strategi-de-marketing-pentru-afaceri-locale-in-orase-mici.md,strategi-de-marketing-pentru-afaceri-locale-in-orase-mici,Strategii de marketing pentru afaceri locale în orașe mici,,535,strategi,
content/blog,content/blog/structura-site-afacere-locaala.md,structura-site-afacere-locaala,Cum alegi structura corectă pentru site-ul unei afaceri locale,,588,locaala,
content/blog,content/blog/structura-site-afacere-mica.md,structura-site-afacere-mica,,,299,,
content/blog,content/blog/tendinte-in-designul-site-urilor-web-pentru-afaceri-locale-in-2026.md,tendinte-in-designul-site-urilor-web-pentru-afaceri-locale-in-2026,Tendințe în designul site-urilor web pentru afaceri locale în 2026,,533,,
content/blog,content/blog/test-autopilot-fara-raport-modificat.md,test-autopilot-fara-raport-modificat,Test Autopilot fără Report Modificat: Cum să Evitați Problemele,,205,"test, autopilot",
content/blog,content/blog/test-final-autopilot-fix.md,test-final-autopilot-fix,Test Final Autopilot Fix: Cum Să Rezolvi Problemele Tehnice În Doar Câteva Minute,,204,"test, final, autopilot",
content/blog,content/blog/test-final-corect-git.md,test-final-corect-git,Test Final Corect Git: Cum să Îți Verifici Cunoștințele și să Devii Un Expert,,228,"test, final",
content/blog,content/blog/transforma-vizitatori-in-clienti.md,transforma-vizitatori-in-clienti,Cum să transformi vizitatorii site-ului în clienți,,351,,
content/blog,content/blog/transforma-vizitatori-in-clients.md,transforma-vizitatori-in-clients,Cum să transformi vizitatorii site-ului în clienți,,517,clients,
content/services,content/services/seo-local.md,seo-local,SEO Local pentru Afaceri Locale,Te ajutăm să apari în Google atunci când clienții caută servicii locale.,70,,
content/services,content/services/site-web.md,site-web,Creare Site Web pentru Afaceri Locale,Creăm site-uri web care atrag clienți reali pentru afaceri locale.,95,,
content/services,content/services/social-media.md,social-media,Promovare Social Media pentru Afaceri,"Strategii de social media care atrag clienți, nu doar like-uri.",48,,
content/social,content/social/afaceri-mici-si-site-web.md,afaceri-mici-si-site-web,,,169,,
content/social,content/social/ai-si-timpul-pierdut-cu-taskuri-repetitive.md,ai-si-timpul-pierdut-cu-taskuri-repetitive,,,143,,
content/social,content/social/automatizare-ai-afaceri-locale.md,automatizare-ai-afaceri-locale,,,141,,
content/social,content/social/cum-sa-atragi-clienti-din-gogle-pentru-o-afacere-locala.md,cum-sa-atragi-clienti-din-gogle-pentru-o-afacere-locala,,,165,gogle,
content/social,content/social/cum-sa-crezi-o-experienta-de-cumparare-omnichanel-pentru-clienti-tai.md,cum-sa-crezi-o-experienta-de-cumparare-omnichanel-pentru-clienti-tai,,,134,"crezi, omnichanel",
content/social,content/social/cum-sa-crezi-un-program-de-fidelitate-pentru-clienti-tai-online-si-ofline.md,cum-sa-crezi-un-program-de-fidelitate-pentru-clienti-tai-online-si-ofline,,,193,"crezi, ofline",
content/social,content/social/cum-sa-folosesti-influenceri-locali-pentru-a-promova-afacerile-tale.md,cum-sa-folosesti-influenceri-locali-pentru-a-promova-afacerile-tale,,,160,,
content/social,content/social/cum-sa-folosesti-retelele-sociale-pentru-a-promova-afacerile-locale-si-a-atrage-clienti-noi.md,cum-sa-folosesti-retelele-sociale-pentru-a-promova-afacerile-locale-si-a-atrage-clienti-noi,,,198,,
content/social,content/social/cum-sa-imbunatatesti-strategia-ta-de-marketing-cu-ajutorul-datelor.md,cum-sa-imbunatatesti-strategia-ta-de-marketing-cu-ajutorul-datelor,,,159,"test, strategi",
content/social,content/social/cum-sa-utilizezi-platformele-de-publicitate-online-pentru-a-ti-creste-vanzarile-in-randul-clientilor-locali.md,cum-sa-utilizezi-platformele-de-publicitate-online-pentru-a-ti-creste-vanzarile-in-randul-clientilor-locali,,,182,,
content/social,content/social/de-ce-afacerile-mici-au-nevoie-de-un-site.md,de-ce-afacerile-mici-au-nevoie-de-un-site,,,205,,
content/social,content/social/de-ce-un-site-simplu-aduce-mai-multi-clienti.md,de-ce-un-site-simplu-aduce-mai-multi-clienti,,,162,,
content/social,content/social/efectul-recenzilor-online-asupra-afacerilor-locale-cum-sa-incurajezi-clienti-sa-lase-recenzi-pozitive.md,efectul-recenzilor-online-asupra-afacerilor-locale-cum-sa-incurajezi-clienti-sa-lase-recenzi-pozitive,,,204,"recenzilor, recenzi",
content/social,content/social/importanta-certificatelor-de-siguranta-pentru-site-urile-web-ale-afacerilor-locale.md,importanta-certificatelor-de-siguranta-pentru-site-urile-web-ale-afacerilor-locale,,,166,,
content/social,content/social/metode-de-promovare-a-afacerilor-locale-prin-intermediul-evenimentelor-comunitare.md,metode-de-promovare-a-afacerilor-locale-prin-intermediul-evenimentelor-comunitare,,,165,,
content/social,content/social/optimizarea-continutului-pentru-afaceri-locale-cum-sa-scri-titluri-si-descrieri-meta-eficiente.md,optimizarea-continutului-pentru-afaceri-locale-cum-sa-scri-titluri-si-descrieri-meta-eficiente,,,193,scri,
content/social,content/social/pagina-principala-afaceri-mici.md,pagina-principala-afaceri-mici,,,153,,
content/social,content/social/site-simplu-vinde-mai-bine.md,site-simplu-vinde-mai-bine,,,177,,
content/social,content/social/strategi-de-marketing-pentru-afaceri-locale-in-orase-mici.md,strategi-de-marketing-pentru-afaceri-locale-in-orase-mici,,,164,strategi,
content/social,content/social/structura-site-afacere-locaala.md,structura-site-afacere-locaala,,,182,locaala,
content/social,content/social/tendinte-in-designul-site-urilor-web-pentru-afaceri-locale-in-2026.md,tendinte-in-designul-site-urilor-web-pentru-afaceri-locale-in-2026,,,176,,
content/social,content/social/test-autopilot-fara-raport-modificat.md,test-autopilot-fara-raport-modificat,,,133,"test, autopilot",
content/social,content/social/test-final-autopilot-fix.md,test-final-autopilot-fix,,,153,"test, final, autopilot",
content/social,content/social/test-final-corect-git.md,test-final-corect-git,,,144,"test, final",
content/social,content/social/transforma-vizitatori-in-clienti.md,transforma-vizitatori-in-clienti,,,128,,
content/social,content/social/transforma-vizitatori-in-clients.md,transforma-vizitatori-in-clients,,,120,clients,
